item_id,interaction_count,popularity_rank
2525,1415,1
21536,1329,2
559,1321,3
192,1190,4
160,1059,5
2337,1031,6
718,978,7
978,894,8
1811,856,9
17406,841,10
837,829,11
369,732,12
805,711,13
529,643,14
141,639,15
642,637,16
23297,609,17
722,583,18
22719,565,19
283,558,20
1500,549,21
176,543,22
545,523,23
1537,504,24
1933,496,25
189,492,26
553,484,27
1023,481,28
187,471,29
307,468,30
4519,454,31
208,447,32
1509,436,33
21913,432,34
1538,431,35
8849,431,36
1169,429,37
21933,427,38
1843,413,39
12190,412,40
5172,407,41
23108,407,42
194,400,43
51,399,44
13272,398,45
205,387,46
296,383,47
2971,383,48
23902,382,49
628,377,50
21948,367,51
21909,361,52
2220,360,53
22562,355,54
3092,351,55
23697,350,56
1609,349,57
571,348,58
1352,348,59
3192,347,60
22919,345,61
4294,343,62
305,339,63
316,339,64
917,331,65
2635,330,66
2662,330,67
21181,330,68
17405,323,69
1428,321,70
3261,319,71
22387,317,72
1553,316,73
3607,310,74
619,308,75
4430,306,76
302,305,77
2067,304,78
293,299,79
128,298,80
5430,297,81
714,296,82
1594,292,83
546,291,84
10694,288,85
22669,288,86
1165,287,87
21856,287,88
23154,285,89
21520,283,90
1571,281,91
3266,281,92
306,280,93
835,280,94
991,280,95
1302,280,96
206,279,97
2773,276,98
198,275,99
203,274,100
1546,274,101
2263,274,102
5423,274,103
17484,274,104
247,273,105
2365,272,106
1292,271,107
8906,271,108
7120,268,109
10879,264,110
792,263,111
1831,261,112
23214,261,113
744,259,114
309,254,115
822,254,116
3191,254,117
1513,253,118
3071,250,119
456,247,120
821,247,121
2363,246,122
2510,244,123
266,243,124
310,243,125
10880,243,126
25116,243,127
778,240,128
1421,238,129
3105,238,130
4994,237,131
23225,237,132
1493,236,133
2692,236,134
1242,234,135
2252,234,136
814,233,137
1502,233,138
2362,232,139
5452,232,140
7209,232,141
2526,231,142
2493,230,143
6624,229,144
21695,229,145
1430,225,146
3617,225,147
129,224,148
870,223,149
2136,223,150
1504,222,151
2474,221,152
20727,221,153
21172,220,154
22522,220,155
1236,219,156
3154,219,157
23715,219,158
269,218,159
161,217,160
21590,217,161
2310,216,162
1755,215,163
620,213,164
775,211,165
812,211,166
1307,211,167
8266,211,168
165,209,169
2203,209,170
1076,208,171
22667,208,172
3133,207,173
22438,207,174
22651,207,175
24965,207,176
242,206,177
4818,204,178
22879,204,179
155,203,180
197,203,181
4598,203,182
5421,203,183
1463,202,184
2319,202,185
4623,202,186
6423,202,187
980,201,188
21178,200,189
673,199,190
1355,199,191
4622,199,192
829,198,193
3070,198,194
8095,198,195
22530,198,196
258,197,197
372,197,198
468,197,199
2432,197,200
2673,197,201
257,196,202
674,196,203
21934,196,204
809,195,205
827,195,206
2141,195,207
21516,195,208
575,194,209
21126,194,210
1650,193,211
4289,190,212
22831,190,213
256,189,214
370,189,215
21128,189,216
170,187,217
301,187,218
318,187,219
204,186,220
1320,186,221
315,185,222
832,185,223
1437,185,224
2396,184,225
23542,184,226
29541,184,227
2097,183,228
4207,183,229
22623,183,230
317,182,231
3044,182,232
9822,182,233
13915,182,234
6037,181,235
543,180,236
1780,180,237
195,179,238
314,178,239
4946,178,240
550,177,241
12188,177,242
22454,177,243
801,176,244
3800,176,245
22364,176,246
22524,176,247
325,175,248
774,175,249
2437,175,250
2484,175,251
22278,175,252
12186,174,253
22361,174,254
319,173,255
675,173,256
4579,173,257
8802,173,258
623,172,259
1627,172,260
3059,172,261
24070,172,262
1128,171,263
6372,170,264
21912,170,265
3022,169,266
2019,168,267
4785,168,268
22618,168,269
24590,168,270
410,167,271
5438,167,272
23350,167,273
373,166,274
4646,166,275
8593,166,276
1207,165,277
1526,165,278
1628,165,279
22880,165,280
48,164,281
2266,164,282
440,163,283
478,163,284
2018,163,285
3107,163,286
3549,163,287
22413,163,288
22839,163,289
23712,163,290
1930,162,291
2289,162,292
6131,162,293
196,161,294
22376,161,295
1433,160,296
1441,160,297
1601,160,298
2247,160,299
2473,160,300
3732,160,301
4545,160,302
4656,160,303
6204,160,304
23517,160,305
274,159,306
1473,159,307
2323,159,308
2464,159,309
3012,159,310
22635,159,311
447,158,312
2315,158,313
2472,158,314
3810,158,315
4202,158,316
22513,158,317
802,157,318
1209,157,319
1853,157,320
21573,157,321
2071,156,322
2373,156,323
4523,156,324
8773,156,325
22644,156,326
23182,156,327
547,155,328
1264,155,329
1617,155,330
9914,155,331
21858,155,332
23348,155,333
11,154,334
797,154,335
1017,154,336
2242,154,337
2334,154,338
5198,154,339
7427,154,340
18,153,341
1277,153,342
1314,153,343
2659,153,344
5112,153,345
9920,153,346
14235,153,347
22918,153,348
4629,152,349
5110,152,350
6375,152,351
243,151,352
290,151,353
458,151,354
643,151,355
779,151,356
3475,151,357
8828,151,358
21696,151,359
1551,150,360
3094,150,361
21920,150,362
22397,150,363
4570,149,364
246,148,365
1555,148,366
3024,148,367
6029,148,368
23234,148,369
