user_id,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20
0,10957,6012,3191,4673,5973,10989,1215,6010,5991,7525,10961,4674,8365,9405,7596,1217,17179,10802,7508,11329
1,978,2525,718,2337,837,1169,1811,722,1537,1500,1609,1023,51,4294,2220,1538,2971,642,1546,1165
2,559,128,1302,1352,1292,978,129,529,369,805,283,1307,1128,718,4519,1537,545,456,1242,2363
3,978,718,247,4294,1500,1537,2220,1023,242,1546,1609,722,1538,5430,5438,160,1811,51,7427,1169
4,978,718,1023,2525,1811,559,1537,1500,722,160,642,1609,141,4294,837,2220,2337,51,1538,1546
5,805,559,128,1302,1292,4519,1352,194,3092,2067,1553,187,1594,5423,2263,2510,283,1428,2252,1128
6,2525,192,1811,2337,369,837,718,141,805,978,160,283,545,642,529,189,553,307,722,4519
7,2525,628,1933,1843,991,2337,917,744,1076,2365,870,2635,837,714,821,1755,992,1811,468,2493
8,2365,1811,3192,917,1076,2396,1755,2525,978,1933,991,1023,1843,468,2493,2662,2635,2337,992,591
9,594,642,821,733,571,722,628,1811,141,870,744,591,1538,605,1755,718,1843,878,674,543
10,129,1674,6184,128,184,1638,422,5147,1665,2541,559,1625,6347,1352,3655,1636,160,2363,2195,2427
11,1302,1292,128,1307,559,1128,160,1182,1183,1638,1665,6184,1625,805,4519,1127,2541,1636,1288,3655
12,10957,3191,6012,5973,4673,1215,6010,109,10989,123,5991,1217,10961,7525,4674,8365,9405,563,17179,10802
13,545,559,4519,307,369,805,3092,194,283,718,978,1811,619,2067,5423,1428,3266,2263,546,198
14,1302,160,128,1307,1352,129,1128,1183,978,6184,1288,2541,1127,1242,184,456,6347,211,3655,5147
15,718,642,2365,722,141,2525,1933,2635,559,1076,744,821,2337,2493,3192,155,468,2396,992,978
16,141,718,1811,176,529,837,571,1843,189,722,369,283,553,628,870,978,2337,1755,821,642
17,128,1302,1292,160,1307,129,1128,1352,1182,1638,1665,1183,1625,6184,2541,1636,1127,1288,6347,422
18,128,1302,160,1292,129,1307,1128,1182,1665,1183,6184,1288,2541,1127,6347,3655,184,422,5147,1242
19,4519,805,369,192,529,559,545,3092,307,296,208,2067,1594,283,1553,205,305,5423,1428,619
20,1933,2525,1811,1843,718,141,2635,642,917,722,714,1076,1755,821,2493,3192,468,978,992,2662
21,559,1292,192,1352,1128,805,4519,369,1638,1665,6184,283,176,1636,1127,2541,1288,1242,456,4598
22,160,128,1302,1292,129,1352,1307,1128,559,192,529,1182,1183,1665,1638,6184,1625,4519,1127,2541
23,837,628,1811,1933,1843,571,718,642,141,2635,991,2365,917,192,714,722,1076,744,821,1755
24,1292,1127,6347,422,1128,1638,129,1182,1288,5147,160,1665,1352,1183,6184,3655,128,1198,1644,1242
25,2525,718,837,628,978,1843,1933,571,559,2365,991,1500,917,1537,192,1609,1538,714,3192,51
26,5104,1023,7125,718,2525,7290,5110,5740,837,2635,2337,2662,4430,1811,12733,5112,4341,642,1843,722
27,837,1933,571,1843,991,917,718,642,2365,2635,714,141,744,1076,870,821,1755,2493,3192,1023
28,1933,917,1843,837,571,628,2337,2525,991,2365,744,1811,1076,642,870,714,821,1755,718,2493
29,553,545,1571,2510,546,2263,369,6624,529,1428,189,305,4519,2252,5423,1553,13915,1594,309,187
30,128,160,1302,129,1307,1352,1128,559,192,529,1182,1183,1665,1638,6184,1625,2541,1127,1636,4519
31,2525,2337,628,837,1811,1933,1843,571,2635,718,141,917,2365,722,714,1076,870,2493,3192,155
32,718,2525,2337,837,978,141,642,2971,722,160,283,3261,2662,7572,1023,51,3192,1609,7664,1538
33,2337,837,1811,718,2525,722,1843,2635,2365,1023,192,991,917,2662,1537,2971,283,1538,51,714
34,718,2525,978,837,2337,141,642,1537,160,3261,2971,722,1023,1609,51,5452,1500,2220,2662,4294
35,2525,1843,571,837,2337,1811,991,2635,642,744,718,1076,141,722,870,821,1755,2493,3192,155
36,2525,628,2337,1933,1843,571,991,917,837,2365,2635,744,1076,870,642,1811,821,1755,2493,992
37,2525,2337,1811,642,718,837,141,978,722,1023,4430,283,1537,805,1500,545,1538,160,628,51
38,128,160,1292,129,1352,559,529,1128,1183,1182,4519,1665,805,6184,1638,1625,1127,2541,1288,1636
39,2525,2337,1811,718,837,628,642,722,1023,1843,1933,141,978,2635,571,559,991,2365,917,192
40,2525,978,1023,642,1811,2337,722,1537,837,1609,141,1546,4294,1538,5430,51,2220,2971,5172,247
41,2337,2525,837,4818,4785,141,1811,4764,642,3192,7649,4820,718,7209,978,4891,14637,12031,628,835
42,128,180,340,184,1288,1127,211,1638,1302,1352,1198,1182,1625,160,1636,336,1644,1362,1186,1128
43,1352,3092,194,1594,529,307,176,1292,160,559,129,4519,128,309,2510,1128,2067,545,2263,1307
44,978,1537,718,722,5430,1023,2525,1609,7120,4294,247,1513,5172,1811,2220,4994,2337,51,1538,242
45,542,51,565,469,579,590,141,601,564,585,466,470,554,560,598,152,602,586,543,155
